,elements,ratio,W(work function),d electron number,local Pauling electronegativity,Ionization potential,d,Pauling electronegativity,group,period,melting point,boiling point,Hfus,
Al0.6Cu3.4(100),,,,,,,,,,,,,,
1,13,0.1765,4.7476,0.795553104,1.851,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.645349
2,13,0.1765,4.7476,0.795553104,1.812,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.202555
3,13,0.1765,4.7476,0.795553104,1.812,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.34307
Al0.6Cu3.4(110),,,,,,,,,,,,,,
1,13,0.1765,4.2484,0.795553104,1.776,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.184505
2,13,0.1765,4.2484,0.795553104,1.791,5.986,1.29174,1.47,13,3,933,2792,10.8,-0.972113
3,13,0.1765,4.2484,0.795553104,1.812,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.18329
4,13,0.1765,4.2484,0.795553104,1.729,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.225909
Al1Cu3(111),,,,,,,,,,,,,,
1,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-0.963494
2,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.451106
3,13,0.3333,4.8892,0.756268571,1.791,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.3378
4,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.20774
Al1Cu3211,,,,,,,,,,,,,,
1,13,0.3333,4.4293,0.756268571,1.837,5.986,1.118,1.47,13,3,933,2792,10.8,-1.283802
2,13,0.3333,4.4293,0.756268571,1.837,5.986,1.118,1.47,13,3,933,2792,10.8,-0.969817
3,13,0.3333,4.4293,0.756268571,1.791,5.986,1.118,1.47,13,3,933,2792,10.8,-0.971301
4,13,0.3333,4.4293,0.756268571,1.729,5.986,1.118,1.47,13,3,933,2792,10.8,-0.805094
5,13,0.3333,4.4293,0.756268571,1.9,5.986,1.118,1.47,13,3,933,2792,10.8,-0.653207
6,13,0.3333,4.4293,0.756268571,1.688,5.986,1.118,1.47,13,3,933,2792,10.8,-0.483331
Al2Cu(110),,,,,,,,1.47,13,3,933,2792,10.8,
1,13,2,4.1265,0.620543572,1.5,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.466889
2,13,2,4.1265,0.620543572,1.5,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.038468
3,13,2,4.1265,0.620543572,1.649,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.014892
4,13,2,4.1265,0.620543572,1.623,5.986,4.28768,1.47,13,3,933,2792,10.8,0.004774
Al2Cu(211),,,,,,,,,,,,,,
1,13,2,4.1858,0.620543572,1.623,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.616889
2,13,2,4.1858,0.620543572,1.688,5.986,2.36964,1.47,13,3,933,2792,10.8,-1.194414
3,13,2,4.1858,0.620543572,1.591,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.214648
4,13,2,4.1858,0.620543572,1.791,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.305177
Al3Cu2100,,,,,,,,,,,,,,
1,13,1.5,4.5346,0.586805935,1.66,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.675646
2,13,1.5,4.5346,0.586805935,1.717,5.986,3.5559,1.47,13,3,933,2792,10.8,0.119413
3,13,1.5,4.5346,0.586805935,1.729,5.986,3.5559,1.47,13,3,933,2792,10.8,0.007018
4,13,1.5,4.5346,0.586805935,1.649,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.009517
5,13,1.5,4.5346,0.586805935,1.791,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.005949
6,13,1.5,4.5346,0.586805935,1.591,5.986,3.5559,1.47,13,3,933,2792,10.8,0.006955
Cu10Zn(111),,,,,,,,,,,,,,
1,30,0.1,4.5232,0.846921124,1.856,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.585704
3,30,0.1,4.5232,0.846921124,1.9,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.752714
4,30,0.1,4.5232,0.846921124,1.791,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.770171
5,30,0.1,4.5232,0.846921124,1.791,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.631331
6,30,0.1,4.5232,0.846921124,1.9,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.728549
Cu10Zn(100),,,,,,,,,,,,,,
1,30,0.1,4.7594,0.846921124,0.534,9.394,1.80753,1.6,12,4,693,1180,7.1,-1.379964
2,30,0.1,4.7594,0.846921124,1.835,9.394,1.80753,1.6,12,4,693,1180,7.1,-1.40954
Cu1Zn1(100),,,,,,,,,,,,,,
1,30,1,4.2099,0.766841762,1.6659,9.394,2.95,1.6,12,4,693,1180,7.1,-0.759333
2,30,1,4.2099,0.766841762,1.7436,9.394,2.95,1.6,12,4,693,1180,7.1,-1.06168
Cu1Zn1(110),,,,,,,,,,,,,,
1,30,1,4.4656,0.766841762,1.85,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.052265
2,30,1,4.4656,0.766841762,1.503125,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.4349275
3,30,1,4.4656,0.766841762,1.7942,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.4349275
4,30,1,4.4656,0.766841762,1.694,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.074948
Cu1Zn1(211),,,,,,,,,,,,,,
1,30,1,4.3136,0.766841762,1.722,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.975699
3,30,1,4.3136,0.766841762,1.82,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.97617
4,30,1,4.3136,0.766841762,1.82,9.394,1.20433,1.6,12,4,693,1180,7.1,0.097483
5,30,1,4.3136,0.766841762,1.7299,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.3418228
6,30,1,4.3136,0.766841762,1.757,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.003578
Cu1Zn2(100),,,,,,,,,,,,,,
1,30,2,4.5527,0.729266941,1.6,9.394,3.70266,1.6,12,4,693,1180,7.1,0.045019
2,30,2,4.5527,0.729266941,1.6,9.394,3.70266,1.6,12,4,693,1180,7.1,0.001179
3,30,2,4.5527,0.729266941,1.703,9.394,3.70266,1.6,12,4,693,1180,7.1,0.004885
Cu1Zn2(110),,,,,,,,,,,,,,
1,30,2,4.3969,0.729266941,1.7065,9.394,2.1375,1.6,12,4,693,1180,7.1,-1.561387
2,30,2,4.3969,0.729266941,1.662,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.628277
3,30,2,4.3969,0.729266941,1.67,9.394,2.1375,1.6,12,4,693,1180,7.1,-1.358036
4,30,2,4.3969,0.729266941,1.67,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.627516
5,30,2,4.3969,0.729266941,1.694,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.11828
6,30,2,4.3969,0.729266941,1.964,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.713687
Cu1Sn1(101),,,,,,,,,,,,,,
1,50,1,4.0594,0.777881207,1.833,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.36157
2,50,1,4.0594,0.777881207,1.866,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.04157
3,50,1,4.0594,0.777881207,1.849,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.05757
4,50,1,4.0594,0.777881207,1.839,7.3439,2.9596,1.8,14,5,505,2875,7.2,0.00943
5,50,1,4.0594,0.777881207,1.839,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.01257
Cu3Sn1(100),,,,,,,,,,,,,,
1,50,0.3333,4.0172,0.85185406,1.889,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.20777
2,50,0.3333,4.0172,0.85185406,1.855,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.82577
3,50,0.3333,4.0172,0.85185406,1.874,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.98577
4,50,0.3333,4.0172,0.85185406,1.84,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.98677
5,50,0.3333,4.0172,0.85185406,1.859,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.14777
Cu3Sn1(110),,,,,,,,,,,,,,
1,50,0.3333,4.9853,0.85185406,1.866,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.33577
2,50,0.3333,4.9853,0.85185406,1.85,7.3439,2.1629,1.8,14,5,505,2875,7.2,0.80623
3,50,0.3333,4.9853,0.85185406,1.88,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.33567
4,50,0.3333,4.9853,0.85185406,1.88,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.03747
5,50,0.3333,4.9853,0.85185406,1.859,7.3439,2.1629,1.8,14,5,505,2875,7.2,0.43663
Cu3Sn1(211),,,,,,,,,,,,,,
1,50,0.3333,4.4548,0.85185406,1.885,7.3439,1.84785,1.8,14,5,505,2875,7.2,0.00281722
